source,target
出差4天,4-day business trip
办公费&福利费&快递费,"Office Expenses, Benefits Expenses, and Courier Fees"
出差3天,3-day business trip
软件服务费,Software service fee
加班打车,cab after overtime
出差17天,17-day business trip
团建费,Team building fee
出差1天,One-day business trip
CN IP 代理,China IP proxy
招聘费用,Recruitment costs
办公费&福利费,Office expenses & benefits
出差6天,6-day business trip
快递费&市内交通&软件费,"Delivery fee, local transportation & software cost"
出差2天,2-day business trip
常规团建,regular team building
出差5天,5-day business trip
差旅费,Travel expenses
快递费,Express delivery fee
面签&快递费&签证费,visa interview fee & courier fee & visa fee
出差8天,8-day business trip
出差26天,26-day business trip
签证费,visa fee
7月15日杭州闭门会中午购买43张30元午餐餐券，以及三箱活动用水,July 15th: Purchased 43 lunch vouchers (30 yuan each) and three boxes of drinking water for the Hangzhou closed-door meeting.
办公费,Office expenses
AmCham Shanghai HR Conference for Serena & Claire,美国商会上海人力资源会议 - 塞雷娜和克莱尔专场
Background check for Stacey Xu,Stacey Xu的背景调查
Bank charge,银行手续费
Beverage for team dinner,团队聚餐饮料
Breakfast,早餐
Breakfast(Thailand trip for Midea Refrigeration Equipment FV),美的制冷设备FV泰国行早餐
Cakes for the 5th anniversary of FuelPro System,FuelPro系统五周年蛋糕
Certificate for in-house training,内部培训证书
Court rental fee for team sports (Badminton),团体运动场地费(羽毛球)
Court rental fee for team sports (Basketball),篮球场地租赁费
Court rental fee for team sports (Table tennis),乒乓球场地租赁费
Dinner,晚餐
Dinner (Training in Changshu),晚餐（常熟培训）
Dinner at Changshu (training),常熟晚餐（培训）
Dinner at Changshu with Frank,在常熟与弗兰克共进晚餐
"Dinner for In-house training in Changshu (April ,Frieda)",常熟内部培训晚餐（四月，Frieda）
Dinner in Changshu,常熟晚餐
Dinner in Changshu (training),常熟培训晚宴
Dinner with Charlie(QA) and Jim(QC),与Charlie(QA)和Jim(QC)共进晚餐
"Dinner with Chloe, Carol and Selena",与Chloe、Carol和Selena共进晚餐
Dinner with Christy,与Christy共进晚餐
Dinner with Claire(BMOO)/Lottie(OA)/Daisy(QA)/Laura(SCA)/Stacey(SCA),克莱尔(BMOO)、洛蒂(OA)、黛西(QA)、劳拉(SCA)、斯泰西(SCA)晚餐
Dinner with Frank (QC),与弗兰克共进晚餐(QC)
Drain board for water dispenser using,饮水机接水板
Drinks for team sports,团队运动饮料
E-banking certificate service fee for Edward's USB key,Edward的USB密钥网上银行证书服务费
E-banking certificate service fee for Lottie's USB Key,洛蒂USB密钥电子银行证书服务费
FSG disability insurance payment and service fee for Sept.2025,FSG 2025年9月残疾保险支付及服务费
Final payment for in-house training for CY'25(including service fee for Room/F&B/Meeting),2025财年内部培训最终付款（包括会议室/餐饮/会议服务费）
Fire-fighting water drainage service fee required for air-conditioning maintenance,空调维护消防水排水服务费
Flight fare for domestic travel for Aug.2025,2025年8月国内机票价格
Flight fare for international travel for Aug.2025(Thailand),2025年8月泰国国际机票价格
From  Changshu Train station to hotel by taxi Jennifer,从常熟火车站到酒店乘坐出租车Jennifer
From Airport to Home by Taxi,打车从机场回家
From Changshu Railway Station to Hyatt by taxi with Serissa,从常熟火车站乘坐出租车到凯悦酒店，与Serissa一起
From Changshu Railway station to hotel by taxi with Claire,和Claire打车从常熟火车站到酒店
From Changshu Station to Changshu Hyatt Hotel by Taxi with Carol,和卡罗尔一起从常熟站乘出租车到常熟凯悦酒店
From Changshu Station to Hotel by Taxi with Edward GM & Gavin SSM,Edward GM和Gavin SSM陪同从常熟站乘出租车前往酒店
From Changshu Station to Shanghai Station by High Speed Train,常熟站到上海站高铁
From Changshu station to hotel by taxi with Nick wang and Jim,和Nick wang、Jim一起从常熟站乘出租车到酒店
From Changshu station to hotel by taxi with Richie,和Richie一起从常熟站乘出租车去酒店
From Changshu to SHHQ by Train,从常熟到SHHQ乘火车
From Changshu to Shanghai Hongqiao by Train,从常熟乘火车到上海虹桥
From Changshu to Shanghai Hongqiao by train,常熟到上海虹桥乘火车
From Changshu to Shanghai Hongqiao by train (training),从常熟到上海虹桥乘火车
From Changshu to Shanghai Station  by Train,从常熟到上海火车站乘火车
From Changshu to Shanghai by High speed train,从常熟到上海坐高铁
From Changshu to Shanghai by Train,从常熟到上海的火车
From Changshu to Shanghai by train,从常熟到上海坐火车
From Changshu train station to Hotel by Taxi with Mark,与Mark一起从常熟火车站乘出租车到酒店
From Changshu train station to Shanghai by train,从常熟火车站乘火车到上海
From Changshu train station to hotel by taxi with Lorraine and Frieda,和Lorraine、Frieda一起乘出租车从常熟火车站到酒店
From Changshu train station to hotel with Laura by Taxi,和Laura一起从常熟火车站乘出租车到酒店
From Changzhou to Shanghai (Toll fee),常州到上海(过路费)
From HQ airport to home by Taxi,从HQ机场打车回家
From HQ train station to home by Taxi,从总部火车站坐出租车回家
From Home to Airport by Taxi,从家到机场乘出租车
From Home to Hongqiao Airport by Taxi,乘出租车从家到虹桥机场
From Home to Hongqiao Subway station by bus,从家乘公交至虹桥地铁站
From Home to Hongqiao by taxi,打车从家到虹桥
From Home to Ningbo Jinding (Toll fee),从家到宁波金顶(通行费)
From Home to Office by Taxi (to the nearest subway station),从家到办公室乘出租车(到最近的地铁站)
From Home to Pudong airport by taxi,从家到浦东机场坐出租车
From Home to Suzhou Howell (Toll fee),从家到苏州Howell（过路费）
From Home to meet Mark's Car by Taxi,打车从家去接马克的车
From Home to station by taxi,从家打车到车站
From Hongqiao Airport to Home by Taxi,从虹桥机场乘出租车回家
From Hongqiao Station to Home by Taxi,从虹桥站打车回家
From Hongqiao Station to home by Taxi,从虹桥站坐出租车回家
